episode,route_file,avg_delay,total_wait_time,throughput,gini_index,cvar_95,avg_queue_length,total_reward,scenario
1,hangzhou_minimal.rou.xml,40.33265554575144,1257.9544029403023,233,0.16214531345423325,58.61859545447669,12.28891544844219,-224.52970046446046,baseline_0pct
2,hangzhou_minimal.rou.xml,19.030927323372037,1347.4337369372327,188,0.22652070772182653,39.81740348367764,11.742365971831072,-304.5221081831711,baseline_0pct
3,hangzhou_minimal.rou.xml,43.681028156677485,1447.8274870593496,187,0.17747543622152206,34.442298959344285,7.5362542349066555,-257.31138660819,baseline_0pct
1,hangzhou_imprudent_15pct.rou.xml,40.33265554575144,1257.9544029403023,233,0.16214531345423325,58.61859545447669,12.28891544844219,-224.52970046446046,imprudent_15pct
2,hangzhou_imprudent_15pct.rou.xml,19.030927323372037,1347.4337369372327,188,0.22652070772182653,39.81740348367764,11.742365971831072,-304.5221081831711,imprudent_15pct
3,hangzhou_imprudent_15pct.rou.xml,43.681028156677485,1447.8274870593496,187,0.17747543622152206,34.442298959344285,7.5362542349066555,-257.31138660819,imprudent_15pct
1,hangzhou_imprudent_30pct.rou.xml,40.33265554575144,1257.9544029403023,233,0.16214531345423325,58.61859545447669,12.28891544844219,-224.52970046446046,imprudent_30pct
2,hangzhou_imprudent_30pct.rou.xml,19.030927323372037,1347.4337369372327,188,0.22652070772182653,39.81740348367764,11.742365971831072,-304.5221081831711,imprudent_30pct
3,hangzhou_imprudent_30pct.rou.xml,43.681028156677485,1447.8274870593496,187,0.17747543622152206,34.442298959344285,7.5362542349066555,-257.31138660819,imprudent_30pct
1,hangzhou_imprudent_50pct.rou.xml,40.33265554575144,1257.9544029403023,233,0.16214531345423325,58.61859545447669,12.28891544844219,-224.52970046446046,imprudent_50pct
2,hangzhou_imprudent_50pct.rou.xml,19.030927323372037,1347.4337369372327,188,0.22652070772182653,39.81740348367764,11.742365971831072,-304.5221081831711,imprudent_50pct
3,hangzhou_imprudent_50pct.rou.xml,43.681028156677485,1447.8274870593496,187,0.17747543622152206,34.442298959344285,7.5362542349066555,-257.31138660819,imprudent_50pct
